 Lotus corniculatus
 Lupinus albus
 Lycium europaeum
 Lycopus europaeus
 Lythrum salicaria
 Malva cretica subsp. althaeoides
 Malva hispanica
 Malva sylvestris
 Medicago italica
 Medicago littoralis
 Medicago rugosa
 Melica minuta
 Mentha pulegium
 Mentha suaveolens
 Mercurialis tomentosa
 Merendera androcymbioides
 Micromeria graeca
 Micropus supinus
 Minuartia hybrida
 Misopates orontium
 Moricandia moricandioides subsp. moricandioides
 Muscari comosum
 Myosotis welwitschii
 Myrtus communis
 Narcissus assoanus
 Narcissus cuatrecasasii
 Narcissus papyraceus
 Narcissus tazetta
 Narduroides salzmannii
 Neotinea maculata
 Nepeta apuleji
 Nerium oleander
 Nigella damascena
 Oenanthe crocata
 Oenanthe fistulosa
 Oenanthe globulosa
 Olea europaea
 Omphalodes commutata
 Ononis laxiflora
 Ononis reclinata
 Ophrys apifera
 Ophrys fusca
 Ophrys lutea
 Ophrys scolopax
 Ophrys speculum subsp. speculum
 Ophrys tenthredinifera
 Opopanax chironium
 Orchis conica
 Orchis laxiflora
 Orchis mascula
 Origanum compactum
 Origanum vulgare subsp. virens
 Orlaya daucoides
 Ornithogalum broteri
 Ornithopus compressus
 Orobanche gracilis
 Orobanche hederae
 Orobanche ramosa
 Osmunda regalis
 Osyris alba
 Otospermum glabrum
 Paeonia broteri
 Pallenis spinosa
 Papaver dubium
 Papaver rhoeas
 Parietaria judaica
 Parietaria mauritanica
 Paronychia argentea
 Paronychia echinulata
 Paspalum paspalodes
 Pedicularis sylvatica subsp. lusitanica
 Phagnalon saxatile
 Phalaris coerulescens
 Phalaris paradoxa
 Phillyrea angustifolia
 Phillyrea latifolia
 Phlomis crinita subsp. malacitana
 Phlomis lychnitis
 Phlomis purpurea
 Pinguicula lusitanica
 Piptatherum miliaceum
 Pistacia lentiscus
 Pistacia terebinthus
 Pisum sativum
 Plantago afra
 Plantago albicans
 Plantago bellardii
 Plantago lagopus
 Plantago lanceolata
 Plantago major
 Pleurosorus hispanicus
 Poa ligulata
 Polygala microphylla
 Polygonum arenastrum
 Polygonum aviculare
 Polygonum persicaria
 Polypodium cambricum
 Populus nigra
 Portulaca oleracea subsp. granulatostellulata
 Potamogeton nodosus
